displayName,commonName,sciName,speciesCode,category,reportAsSpeciesCode,reportAsCategory,showSpeciesPageLink
Saddle-billed Stork,Saddle-billed Stork,Ephippiorhynchus senegalensis,sabsto1,species,sabsto1,species,True
Marabou Stork,Marabou Stork,Leptoptilos crumenifer,marsto1,species,marsto1,species,True
Yellow-billed Stork,Yellow-billed Stork,Mycteria ibis,yebsto1,species,yebsto1,species,True
Lesser Frigatebird,Lesser Frigatebird,Fregata ariel,lesfri,species,lesfri,species,True
Christmas Island Frigatebird,Christmas Island Frigatebird,Fregata andrewsi,chifri1,species,chifri1,species,True
Great Frigatebird,Great Frigatebird,Fregata minor,grefri,species,grefri,species,True
Masked Booby,Masked Booby,Sula dactylatra,masboo,species,masboo,species,True
Brown Booby,Brown Booby,Sula leucogaster,brnboo,species,brnboo,species,True
Red-footed Booby,Red-footed Booby,Sula sula,refboo,species,refboo,species,True
African Darter,African Darter,Anhinga rufa,darter3,species,darter3,species,True
Long-tailed Cormorant,Long-tailed Cormorant,Microcarbo africanus,lotcor1,species,lotcor1,species,True
Great Cormorant,Great Cormorant,Phalacrocorax carbo,grecor,species,grecor,species,True
Great White Pelican,Great White Pelican,Pelecanus onocrotalus,grwpel1,species,grwpel1,species,True
Pink-backed Pelican,Pink-backed Pelican,Pelecanus rufescens,pibpel1,species,pibpel1,species,True
Shoebill,Shoebill,Balaeniceps rex,shoebi1,species,shoebi1,species,True
Hamerkop,Hamerkop,Scopus umbretta,hamerk1,species,hamerk1,species,True
Great Bittern,Great Bittern,Botaurus stellaris,grebit1,species,grebit1,species,True
Little Bittern,Little Bittern,Ixobrychus minutus,litbit1,species,litbit1,species,True
Dwarf Bittern,Dwarf Bittern,Ixobrychus sturmii,dwabit1,species,dwabit1,species,True
Gray Heron,Gray Heron,Ardea cinerea,graher1,species,graher1,species,True
Black-headed Heron,Black-headed Heron,Ardea melanocephala,blhher1,species,blhher1,species,True
Goliath Heron,Goliath Heron,Ardea goliath,golher1,species,golher1,species,True
Purple Heron,Purple Heron,Ardea purpurea,purher1,species,purher1,species,True
Great Egret,Great Egret,Ardea alba,greegr,species,greegr,species,True
Intermediate Egret,Intermediate Egret,Ardea intermedia,integr,species,integr,species,True
Little Egret,Little Egret,Egretta garzetta,litegr,species,litegr,species,True
Western Reef-Heron,Western Reef-Heron,Egretta gularis,werher,species,werher,species,True
Black Heron,Black Heron,Egretta ardesiaca,blaher1,species,blaher1,species,True
Cattle Egret,Cattle Egret,Bubulcus ibis,categr,species,categr,species,True
white egret sp.,white egret sp.,Ardea/Egretta/Bubulcus sp.,whiegr1,spuh,whiegr1,spuh,False
Squacco Heron,Squacco Heron,Ardeola ralloides,squher1,species,squher1,species,True
Madagascar Pond-Heron,Madagascar Pond-Heron,Ardeola idae,mapher1,species,mapher1,species,True
Rufous-bellied Heron,Rufous-bellied Heron,Ardeola rufiventris,rubher2,species,rubher2,species,True
Striated Heron,Striated Heron,Butorides striata,strher,species,strher,species,True
Black-crowned Night-Heron,Black-crowned Night-Heron,Nycticorax nycticorax,bcnher,species,bcnher,species,True
White-backed Night-Heron,White-backed Night-Heron,Gorsachius leuconotus,wbnher1,species,wbnher1,species,True
Glossy Ibis,Glossy Ibis,Plegadis falcinellus,gloibi,species,gloibi,species,True
African Sacred Ibis,African Sacred Ibis,Threskiornis aethiopicus,sacibi2,species,sacibi2,species,True
Olive Ibis,Olive Ibis,Bostrychia olivacea,oliibi2,species,oliibi2,species,True
Hadada Ibis,Hadada Ibis,Bostrychia hagedash,hadibi1,species,hadibi1,species,True
ibis sp.,ibis sp.,Threskiornithidae sp. (ibis sp.),ibis1,spuh,ibis1,spuh,False
Eurasian Spoonbill,Eurasian Spoonbill,Platalea leucorodia,eurspo1,species,eurspo1,species,True
African Spoonbill,African Spoonbill,Platalea alba,afrspo1,species,afrspo1,species,True
Secretarybird,Secretarybird,Sagittarius serpentarius,secret2,species,secret2,species,True
Osprey,Osprey,Pandion haliaetus,osprey,species,osprey,species,True
Black-winged Kite,Black-winged Kite,Elanus caeruleus,bkskit1,species,bkskit1,species,True
Scissor-tailed Kite,Scissor-tailed Kite,Chelictinia riocourii,sctkit1,species,sctkit1,species,True
African Harrier-Hawk,African Harrier-Hawk,Polyboroides typus,afhhaw1,species,afhhaw1,species,True
Palm-nut Vulture,Palm-nut Vulture,Gypohierax angolensis,panvul1,species,panvul1,species,True
Bearded Vulture,Bearded Vulture,Gypaetus barbatus,lammer1,species,lammer1,species,True
Egyptian Vulture,Egyptian Vulture,Neophron percnopterus,egyvul1,species,egyvul1,species,True
European Honey-buzzard,European Honey-buzzard,Pernis apivorus,euhbuz1,species,euhbuz1,species,True
African Cuckoo-Hawk,African Cuckoo-Hawk,Aviceda cuculoides,afrcuh1,species,afrcuh1,species,True
White-headed Vulture,White-headed Vulture,Trigonoceps occipitalis,whhvul1,species,whhvul1,species,True
Lappet-faced Vulture,Lappet-faced Vulture,Torgos tracheliotos,lafvul1,species,lafvul1,species,True
Hooded Vulture,Hooded Vulture,Necrosyrtes monachus,hoovul1,species,hoovul1,species,True
White-backed Vulture,White-backed Vulture,Gyps africanus,whbvul1,species,whbvul1,species,True
Rüppell's Griffon,Rüppell's Griffon,Gyps rueppelli,ruegri1,species,ruegri1,species,True
Bateleur,Bateleur,Terathopius ecaudatus,batele1,species,batele1,species,True
Short-toed Snake-Eagle,Short-toed Snake-Eagle,Circaetus gallicus,shteag1,species,shteag1,species,True
Beaudouin's Snake-Eagle,Beaudouin's Snake-Eagle,Circaetus beaudouini,beasne1,species,beasne1,species,True
Black-chested Snake-Eagle,Black-chested Snake-Eagle,Circaetus pectoralis,bkbsne1,species,bkbsne1,species,True
Brown Snake-Eagle,Brown Snake-Eagle,Circaetus cinereus,brseag1,species,brseag1,species,True
Fasciated Snake-Eagle,Fasciated Snake-Eagle,Circaetus fasciolatus,faseag1,species,faseag1,species,True
Banded Snake-Eagle,Banded Snake-Eagle,Circaetus cinerascens,baseag1,species,baseag1,species,True
Bat Hawk,Bat Hawk,Macheiramphus alcinus,bathaw1,species,bathaw1,species,True
Crowned Eagle,Crowned Eagle,Stephanoaetus coronatus,crheag1,species,crheag1,species,True
Martial Eagle,Martial Eagle,Polemaetus bellicosus,mareag1,species,mareag1,species,True
Long-crested Eagle,Long-crested Eagle,Lophaetus occipitalis,loceag1,species,loceag1,species,True
Lesser Spotted Eagle,Lesser Spotted Eagle,Clanga pomarina,leseag1,species,leseag1,species,True
Greater Spotted Eagle,Greater Spotted Eagle,Clanga clanga,grseag1,species,grseag1,species,True
Wahlberg's Eagle,Wahlberg's Eagle,Hieraaetus wahlbergi,waheag3,species,waheag3,species,True
Booted Eagle,Booted Eagle,Hieraaetus pennatus,booeag1,species,booeag1,species,True
Ayres's Hawk-Eagle,Ayres's Hawk-Eagle,Hieraaetus ayresii,ayheag1,species,ayheag1,species,True
Tawny Eagle,Tawny Eagle,Aquila rapax,taweag1,species,taweag1,species,True
Steppe Eagle,Steppe Eagle,Aquila nipalensis,steeag1,species,steeag1,species,True
Imperial Eagle,Imperial Eagle,Aquila heliaca,impeag1,species,impeag1,species,True
Cassin's Hawk-Eagle,Cassin's Hawk-Eagle,Aquila africana,cashae1,species,cashae1,species,True
Verreaux's Eagle,Verreaux's Eagle,Aquila verreauxii,vereag1,species,vereag1,species,True
African Hawk-Eagle,African Hawk-Eagle,Aquila spilogaster,afrhae1,species,afrhae1,species,True
Aquila sp.,Aquila sp.,Aquila sp.,aquila1,spuh,aquila1,spuh,False
Lizard Buzzard,Lizard Buzzard,Kaupifalco monogrammicus,lizbuz1,species,lizbuz1,species,True
Dark Chanting-Goshawk,Dark Chanting-Goshawk,Melierax metabates,dacgos1,species,dacgos1,species,True
Eastern Chanting-Goshawk,Eastern Chanting-Goshawk,Melierax poliopterus,eacgos1,species,eacgos1,species,True
Gabar Goshawk,Gabar Goshawk,Micronisus gabar,gabgos2,species,gabgos2,species,True
Grasshopper Buzzard,Grasshopper Buzzard,Butastur rufipennis,grabuz1,species,grabuz1,species,True
Eurasian Marsh-Harrier,Eurasian Marsh-Harrier,Circus aeruginosus,wemhar1,species,wemhar1,species,True
African Marsh-Harrier,African Marsh-Harrier,Circus ranivorus,afmhar1,species,afmhar1,species,True
Pallid Harrier,Pallid Harrier,Circus macrourus,palhar1,species,palhar1,species,True
Montagu's Harrier,Montagu's Harrier,Circus pygargus,monhar1,species,monhar1,species,True
harrier sp.,harrier sp.,Circus sp.,harrie1,spuh,harrie1,spuh,False
African Goshawk,African Goshawk,Accipiter tachiro,afrgos1,species,afrgos1,species,True
Shikra,Shikra,Accipiter badius,shikra1,species,shikra1,species,True
Levant Sparrowhawk,Levant Sparrowhawk,Accipiter brevipes,levspa1,species,levspa1,species,True
Little Sparrowhawk,Little Sparrowhawk,Accipiter minullus,litspa1,species,litspa1,species,True
Ovambo Sparrowhawk,Ovambo Sparrowhawk,Accipiter ovampensis,ovaspa2,species,ovaspa2,species,True
Eurasian Sparrowhawk,Eurasian Sparrowhawk,Accipiter nisus,eurspa1,species,eurspa1,species,True
Rufous-breasted Sparrowhawk,Rufous-breasted Sparrowhawk,Accipiter rufiventris,rucspa2,species,rucspa2,species,True
Black Goshawk,Black Goshawk,Accipiter melanoleucus,blagos1,species,blagos1,species,True
Black Kite,Black Kite,Milvus migrans,blakit1,species,blakit1,species,True
African Fish-Eagle,African Fish-Eagle,Haliaeetus vocifer,affeag1,species,affeag1,species,True
Common Buzzard,Common Buzzard,Buteo buteo,combuz1,species,combuz1,species,True
Mountain Buzzard,Mountain Buzzard,Buteo oreophilus,moubuz2,species,moubuz2,species,True
Long-legged Buzzard,Long-legged Buzzard,Buteo rufinus,lolbuz1,species,lolbuz1,species,True
Augur Buzzard,Augur Buzzard,Buteo augur,augbuz1,species,augbuz1,species,True
hawk sp.,hawk sp.,Accipitridae sp. (hawk sp.),hawk,spuh,hawk,spuh,False
eagle sp.,eagle sp.,Accipitridae sp. (eagle sp.),eagle1,spuh,eagle1,spuh,False
African Grass-Owl,African Grass-Owl,Tyto capensis,afgowl1,species,afgowl1,species,True
Barn Owl,Barn Owl,Tyto alba,brnowl,species,brnowl,species,True
Sokoke Scops-Owl,Sokoke Scops-Owl,Otus ireneae,sosowl1,species,sosowl1,species,True
Eurasian Scops-Owl,Eurasian Scops-Owl,Otus scops,eursco1,species,eursco1,species,True
African Scops-Owl,African Scops-Owl,Otus senegalensis,afsowl1,species,afsowl1,species,True
Northern White-faced Owl,Northern White-faced Owl,Ptilopsis leucotis,nwfowl1,species,nwfowl1,species,True
Southern White-faced Owl,Southern White-faced Owl,Ptilopsis granti,swfowl1,species,swfowl1,species,True
Cape Eagle-Owl,Cape Eagle-Owl,Bubo capensis,caeowl1,species,caeowl1,species,True
Spotted Eagle-Owl,Spotted Eagle-Owl,Bubo africanus,speowl2,species,speowl2,species,True
Grayish Eagle-Owl,Grayish Eagle-Owl,Bubo cinerascens,graeao1,species,graeao1,species,True
Verreaux's Eagle-Owl,Verreaux's Eagle-Owl,Bubo lacteus,veeowl1,species,veeowl1,species,True
Pel's Fishing-Owl,Pel's Fishing-Owl,Scotopelia peli,pefowl1,species,pefowl1,species,True
Pearl-spotted Owlet,Pearl-spotted Owlet,Glaucidium perlatum,pesowl1,species,pesowl1,species,True
Red-chested Owlet,Red-chested Owlet,Glaucidium tephronotum,recowl1,species,recowl1,species,True
African Barred Owlet,African Barred Owlet,Glaucidium capense,afbowl1,species,afbowl1,species,True
African Wood-Owl,African Wood-Owl,Strix woodfordii,afwowl1,species,afwowl1,species,True
Short-eared Owl,Short-eared Owl,Asio flammeus,sheowl,species,sheowl,species,True
Marsh Owl,Marsh Owl,Asio capensis,marowl2,species,marowl2,species,True
owl sp.,owl sp.,Strigiformes sp.,owl1,spuh,owl1,spuh,False
Speckled Mousebird,Speckled Mousebird,Colius striatus,spemou2,species,spemou2,species,True
White-headed Mousebird,White-headed Mousebird,Colius leucocephalus,whhmou1,species,whhmou1,species,True
Blue-naped Mousebird,Blue-naped Mousebird,Urocolius macrourus,blnmou1,species,blnmou1,species,True
Narina Trogon,Narina Trogon,Apaloderma narina,nartro1,species,nartro1,species,True
Bar-tailed Trogon,Bar-tailed Trogon,Apaloderma vittatum,battro1,species,battro1,species,True
Eurasian Hoopoe,Eurasian Hoopoe,Upupa epops,hoopoe,species,hoopoe,species,True
Green Woodhoopoe,Green Woodhoopoe,Phoeniculus purpureus,grewoo2,species,grewoo2,species,True
Violet Woodhoopoe,Violet Woodhoopoe,Phoeniculus damarensis,viowoo1,species,viowoo1,species,True
Black-billed Woodhoopoe,Black-billed Woodhoopoe,Phoeniculus somaliensis,blbwoo2,species,blbwoo2,species,True
White-headed Woodhoopoe,White-headed Woodhoopoe,Phoeniculus bollei,whhwoo1,species,whhwoo1,species,True
woodhoopoe sp.,woodhoopoe sp.,Phoeniculus sp.,woodho1,spuh,woodho1,spuh,False
Common Scimitarbill,Common Scimitarbill,Rhinopomastus cyanomelas,cosbil1,species,cosbil1,species,True
Abyssinian Scimitarbill,Abyssinian Scimitarbill,Rhinopomastus minor,absbil1,species,absbil1,species,True
Abyssinian Ground-Hornbill,Abyssinian Ground-Hornbill,Bucorvus abyssinicus,noghor1,species,noghor1,species,True
Southern Ground-Hornbill,Southern Ground-Hornbill,Bucorvus leadbeateri,soghor1,species,soghor1,species,True
Crowned Hornbill,Crowned Hornbill,Lophoceros alboterminatus,crohor1,species,crohor1,species,True
Hemprich's Hornbill,Hemprich's Hornbill,Lophoceros hemprichii,hemhor1,species,hemhor1,species,True
African Gray Hornbill,African Gray Hornbill,Lophoceros nasutus,afghor1,species,afghor1,species,True
Eastern Yellow-billed Hornbill,Eastern Yellow-billed Hornbill,Tockus flavirostris,eybhor1,species,eybhor1,species,True
Jackson's Hornbill,Jackson's Hornbill,Tockus jacksoni,jachor1,species,jachor1,species,True
Von der Decken's Hornbill,Von der Decken's Hornbill,Tockus deckeni,vddhor1,species,vddhor1,species,True
Northern Red-billed Hornbill,Northern Red-billed Hornbill,Tockus erythrorhynchus,rebhor1,species,rebhor1,species,True
Silvery-cheeked Hornbill,Silvery-cheeked Hornbill,Bycanistes brevis,sichor1,species,sichor1,species,True
Black-and-white-casqued Hornbill,Black-and-white-casqued Hornbill,Bycanistes subcylindricus,bawhor2,species,bawhor2,species,True
Trumpeter Hornbill,Trumpeter Hornbill,Bycanistes bucinator,truhor1,species,truhor1,species,True
Half-collared Kingfisher,Half-collared Kingfisher,Alcedo semitorquata,hackin1,species,hackin1,species,True
Shining-blue Kingfisher,Shining-blue Kingfisher,Alcedo quadribrachys,shbkin1,species,shbkin1,species,True
Malachite Kingfisher,Malachite Kingfisher,Corythornis cristatus,malkin1,species,malkin1,species,True
African Pygmy-Kingfisher,African Pygmy-Kingfisher,Ispidina picta,afpkin1,species,afpkin1,species,True
Gray-headed Kingfisher,Gray-headed Kingfisher,Halcyon leucocephala,gyhkin1,species,gyhkin1,species,True
Woodland Kingfisher,Woodland Kingfisher,Halcyon senegalensis,wookin1,species,wookin1,species,True
Mangrove Kingfisher,Mangrove Kingfisher,Halcyon senegaloides,mankin2,species,mankin2,species,True
Blue-breasted Kingfisher,Blue-breasted Kingfisher,Halcyon malimbica,blbkin4,species,blbkin4,species,True
Brown-hooded Kingfisher,Brown-hooded Kingfisher,Halcyon albiventris,brhkin1,species,brhkin1,species,True
Striped Kingfisher,Striped Kingfisher,Halcyon chelicuti,strkin1,species,strkin1,species,True
Giant Kingfisher,Giant Kingfisher,Megaceryle maxima,giakin3,species,giakin3,species,True
Pied Kingfisher,Pied Kingfisher,Ceryle rudis,piekin1,species,piekin1,species,True
Blue-headed Bee-eater,Blue-headed Bee-eater,Merops muelleri,bhbeat2,species,bhbeat2,species,True
White-fronted Bee-eater,White-fronted Bee-eater,Merops bullockoides,wfbeat1,species,wfbeat1,species,True
Little Bee-eater,Little Bee-eater,Merops pusillus,libeat1,species,libeat1,species,True
Blue-breasted Bee-eater,Blue-breasted Bee-eater,Merops variegatus,bbbeat2,species,bbbeat2,species,True
Cinnamon-chested Bee-eater,Cinnamon-chested Bee-eater,Merops oreobates,ccbeat1,species,ccbeat1,species,True
Swallow-tailed Bee-eater,Swallow-tailed Bee-eater,Merops hirundineus,stbeat1,species,stbeat1,species,True
Somali Bee-eater,Somali Bee-eater,Merops revoilii,sobeat1,species,sobeat1,species,True
White-throated Bee-eater,White-throated Bee-eater,Merops albicollis,wtbeat1,species,wtbeat1,species,True
Blue-cheeked Bee-eater,Blue-cheeked Bee-eater,Merops persicus,bcbeat1,species,bcbeat1,species,True
Madagascar Bee-eater,Madagascar Bee-eater,Merops superciliosus,mabeat1,species,mabeat1,species,True
European Bee-eater,European Bee-eater,Merops apiaster,eubeat1,species,eubeat1,species,True
Northern Carmine Bee-eater,Northern Carmine Bee-eater,Merops nubicus,ncbeat1,species,ncbeat1,species,True
European Roller,European Roller,Coracias garrulus,eurrol1,species,eurrol1,species,True
Abyssinian Roller,Abyssinian Roller,Coracias abyssinicus,abyrol2,species,abyrol2,species,True
Lilac-breasted Roller,Lilac-breasted Roller,Coracias caudatus,librol2,species,librol2,species,True
Racket-tailed Roller,Racket-tailed Roller,Coracias spatulatus,ratrol2,species,ratrol2,species,True
Rufous-crowned Roller,Rufous-crowned Roller,Coracias naevius,rucrol2,species,rucrol2,species,True
Broad-billed Roller,Broad-billed Roller,Eurystomus glaucurus,brbrol1,species,brbrol1,species,True
Yellow-billed Barbet,Yellow-billed Barbet,Trachyphonus purpuratus,yebbar1,species,yebbar1,species,True
Red-and-yellow Barbet,Red-and-yellow Barbet,Trachyphonus erythrocephalus,raybar1,species,raybar1,species,True
D'Arnaud's Barbet,D'Arnaud's Barbet,Trachyphonus darnaudii,darbar1,species,darbar1,species,True
Gray-throated Barbet,Gray-throated Barbet,Gymnobucco bonapartei,gytbar1,species,gytbar1,species,True
White-eared Barbet,White-eared Barbet,Stactolaema leucotis,whebar1,species,whebar1,species,True
Green Barbet,Green Barbet,Stactolaema olivacea,grebar2,species,grebar2,species,True
Green Tinkerbird,Green Tinkerbird,Pogoniulus simplex,gretin2,species,gretin2,species,True
Moustached Tinkerbird,Moustached Tinkerbird,Pogoniulus leucomystax,moutin1,species,moutin1,species,True
Yellow-rumped Tinkerbird,Yellow-rumped Tinkerbird,Pogoniulus bilineatus,yertin1,species,yertin1,species,True
Red-fronted Tinkerbird,Red-fronted Tinkerbird,Pogoniulus pusillus,reftin1,species,reftin1,species,True
Yellow-fronted Tinkerbird,Yellow-fronted Tinkerbird,Pogoniulus chrysoconus,yeftin1,species,yeftin1,species,True
Yellow-spotted Barbet,Yellow-spotted Barbet,Buccanodon duchaillui,yesbar1,species,yesbar1,species,True
Hairy-breasted Barbet,Hairy-breasted Barbet,Tricholaema hirsuta,habbar1,species,habbar1,species,True
Red-fronted Barbet,Red-fronted Barbet,Tricholaema diademata,refbar2,species,refbar2,species,True
Spot-flanked Barbet,Spot-flanked Barbet,Tricholaema lacrymosa,spfbar1,species,spfbar1,species,True
Black-throated Barbet,Black-throated Barbet,Tricholaema melanocephala,bltbar1,species,bltbar1,species,True
White-headed Barbet,White-headed Barbet,Lybius leucocephalus,whhbar1,species,whhbar1,species,True
Black-billed Barbet,Black-billed Barbet,Lybius guifsobalito,blbbar3,species,blbbar3,species,True
Black-collared Barbet,Black-collared Barbet,Lybius torquatus,blcbar1,species,blcbar1,species,True
Brown-breasted Barbet,Brown-breasted Barbet,Lybius melanopterus,brbbar1,species,brbbar1,species,True
Double-toothed Barbet,Double-toothed Barbet,Lybius bidentatus,dotbar1,species,dotbar1,species,True
Cassin's Honeyguide,Cassin's Honeyguide,Prodotiscus insignis,cashon1,species,cashon1,species,True
Green-backed Honeyguide,Green-backed Honeyguide,Prodotiscus zambesiae,grbhon2,species,grbhon2,species,True
Wahlberg's Honeyguide,Wahlberg's Honeyguide,Prodotiscus regulus,wahhon1,species,wahhon1,species,True
Pallid Honeyguide,Pallid Honeyguide,Indicator meliphilus,palhon1,species,palhon1,species,True
Least Honeyguide,Least Honeyguide,Indicator exilis,leahon2,species,leahon2,species,True
Thick-billed Honeyguide,Thick-billed Honeyguide,Indicator conirostris,thbhon1,species,thbhon1,species,True
Lesser Honeyguide,Lesser Honeyguide,Indicator minor,leshon1,species,leshon1,species,True
Scaly-throated Honeyguide,Scaly-throated Honeyguide,Indicator variegatus,scthon1,species,scthon1,species,True
Greater Honeyguide,Greater Honeyguide,Indicator indicator,grehon2,species,grehon2,species,True
honeyguide sp.,honeyguide sp.,Indicatoridae sp.,honeyg1,spuh,honeyg1,spuh,False
Eurasian Wryneck,Eurasian Wryneck,Jynx torquilla,eurwry,species,eurwry,species,True
Rufous-necked Wryneck,Rufous-necked Wryneck,Jynx ruficollis,runwry1,species,runwry1,species,True
Speckle-breasted Woodpecker,Speckle-breasted Woodpecker,Chloropicus poecilolaemus,spbwoo2,species,spbwoo2,species,True
Cardinal Woodpecker,Cardinal Woodpecker,Chloropicus fuscescens,carwoo1,species,carwoo1,species,True
Bearded Woodpecker,Bearded Woodpecker,Chloropicus namaquus,beawoo1,species,beawoo1,species,True
Golden-crowned Woodpecker,Golden-crowned Woodpecker,Chloropicus xantholophus,gocwoo3,species,gocwoo3,species,True
Brown-backed Woodpecker,Brown-backed Woodpecker,Chloropicus obsoletus,brbwoo1,species,brbwoo1,species,True
African Gray Woodpecker,African Gray Woodpecker,Chloropicus goertae,grywoo1,species,grywoo1,species,True
Mountain Gray Woodpecker,Mountain Gray Woodpecker,Chloropicus spodocephalus,gyhwoo1,species,gyhwoo1,species,True
Brown-eared Woodpecker,Brown-eared Woodpecker,Campethera caroli,brewoo1,species,brewoo1,species,True
Buff-spotted Woodpecker,Buff-spotted Woodpecker,Campethera nivosa,buswoo1,species,buswoo1,species,True
Tullberg's Woodpecker,Tullberg's Woodpecker,Campethera tullbergi,tulwoo1,species,tulwoo1,species,True
Green-backed Woodpecker,Green-backed Woodpecker,Campethera cailliautii,grbwoo2,species,grbwoo2,species,True
Nubian Woodpecker,Nubian Woodpecker,Campethera nubica,nubwoo1,species,nubwoo1,species,True
Golden-tailed Woodpecker,Golden-tailed Woodpecker,Campethera abingoni,gotwoo1,species,gotwoo1,species,True
Mombasa Woodpecker,Mombasa Woodpecker,Campethera mombassica,momwoo1,species,momwoo1,species,True
woodpecker sp.,woodpecker sp.,Picidae sp.,woodpe1,spuh,woodpe1,spuh,False
Pygmy Falcon,Pygmy Falcon,Polihierax semitorquatus,pygfal1,species,pygfal1,species,True
Lesser Kestrel,Lesser Kestrel,Falco naumanni,leskes1,species,leskes1,species,True
Eurasian Kestrel,Eurasian Kestrel,Falco tinnunculus,eurkes,species,eurkes,species,True
Lesser/Eurasian Kestrel,Lesser/Eurasian Kestrel,Falco naumanni/tinnunculus,y00613,slash,y00613,slash,False
Greater Kestrel,Greater Kestrel,Falco rupicoloides,grekes1,species,grekes1,species,True
Fox Kestrel,Fox Kestrel,Falco alopex,foxkes1,species,foxkes1,species,True
Gray Kestrel,Gray Kestrel,Falco ardosiaceus,grykes1,species,grykes1,species,True
Dickinson's Kestrel,Dickinson's Kestrel,Falco dickinsoni,dickes1,species,dickes1,species,True
Red-necked Falcon,Red-necked Falcon,Falco chicquera,renfal1,species,renfal1,species,True
Amur Falcon,Amur Falcon,Falco amurensis,amufal1,species,amufal1,species,True
Eleonora's Falcon,Eleonora's Falcon,Falco eleonorae,elefal1,species,elefal1,species,True
Sooty Falcon,Sooty Falcon,Falco concolor,soofal1,species,soofal1,species,True
Eurasian Hobby,Eurasian Hobby,Falco subbuteo,eurhob,species,eurhob,species,True
African Hobby,African Hobby,Falco cuvierii,afrhob1,species,afrhob1,species,True
Lanner Falcon,Lanner Falcon,Falco biarmicus,lanfal1,species,lanfal1,species,True
Saker Falcon,Saker Falcon,Falco cherrug,sakfal1,species,sakfal1,species,True
Peregrine Falcon,Peregrine Falcon,Falco peregrinus,perfal,species,perfal,species,True
Taita Falcon,Taita Falcon,Falco fasciinucha,taifal1,species,taifal1,species,True
falcon sp.,falcon sp.,Falco sp.,falcon,spuh,falcon,spuh,False
Red-headed Lovebird,Red-headed Lovebird,Agapornis pullarius,rehlov1,species,rehlov1,species,True
Fischer's x Yellow-collared Lovebird (hybrid),Fischer's x Yellow-collared Lovebird (hybrid),Agapornis fischeri x personatus,x00671,hybrid,x00671,hybrid,False
Gray Parrot,Gray Parrot,Psittacus erithacus,grepar,species,grepar,species,True
Red-fronted Parrot,Red-fronted Parrot,Poicephalus gulielmi,refpar5,species,refpar5,species,True
Meyer's Parrot,Meyer's Parrot,Poicephalus meyeri,meypar1,species,meypar1,species,True
Brown-headed Parrot,Brown-headed Parrot,Poicephalus cryptoxanthus,brhpar2,species,brhpar2,species,True
Red-bellied Parrot,Red-bellied Parrot,Poicephalus rufiventris,rebpar1,species,rebpar1,species,True
African Broadbill,African Broadbill,Smithornis capensis,afrbro1,species,afrbro1,species,True
African Pitta,African Pitta,Pitta angolensis,afrpit1,species,afrpit1,species,True
Gray Cuckooshrike,Gray Cuckooshrike,Coracina caesia,grycus1,species,grycus1,species,True
White-breasted Cuckooshrike,White-breasted Cuckooshrike,Coracina pectoralis,whbcus2,species,whbcus2,species,True
Black Cuckooshrike,Black Cuckooshrike,Campephaga flava,blkcus1,species,blkcus1,species,True
Petit's Cuckooshrike,Petit's Cuckooshrike,Campephaga petiti,petcus1,species,petcus1,species,True
Red-shouldered Cuckooshrike,Red-shouldered Cuckooshrike,Campephaga phoenicea,rescus1,species,rescus1,species,True
Purple-throated Cuckooshrike,Purple-throated Cuckooshrike,Campephaga quiscalina,putcus1,species,putcus1,species,True
Eurasian Golden Oriole,Eurasian Golden Oriole,Oriolus oriolus,eugori2,species,eugori2,species,True
African Golden Oriole,African Golden Oriole,Oriolus auratus,afgori2,species,afgori2,species,True
Green-headed Oriole,Green-headed Oriole,Oriolus chlorocephalus,grhori1,species,grhori1,species,True
Western Black-headed Oriole,Western Black-headed Oriole,Oriolus brachyrynchus,wbhori1,species,wbhori1,species,True
African Black-headed Oriole,African Black-headed Oriole,Oriolus larvatus,abhori1,species,abhori1,species,True
Black-tailed Oriole,Black-tailed Oriole,Oriolus percivali,bltori1,species,bltori1,species,True
Brown-throated Wattle-eye,Brown-throated Wattle-eye,Platysteira cyanea,btweye2,species,btweye2,species,True
Black-throated Wattle-eye,Black-throated Wattle-eye,Platysteira peltata,btweye1,species,btweye1,species,True
Chestnut Wattle-eye,Chestnut Wattle-eye,Platysteira castanea,chweye1,species,chweye1,species,True
Jameson's Wattle-eye,Jameson's Wattle-eye,Platysteira jamesoni,jaweye1,species,jaweye1,species,True
Yellow-bellied Wattle-eye,Yellow-bellied Wattle-eye,Platysteira concreta,ybweye1,species,ybweye1,species,True
Short-tailed Batis,Short-tailed Batis,Batis mixta,shtbat1,species,shtbat1,species,True
Chinspot Batis,Chinspot Batis,Batis molitor,chibat1,species,chibat1,species,True
Pale Batis,Pale Batis,Batis soror,palbat1,species,palbat1,species,True
Western Black-headed Batis,Western Black-headed Batis,Batis erlangeri,bkhbat1,species,bkhbat1,species,True
Eastern Black-headed Batis,Eastern Black-headed Batis,Batis minor,bkhbat2,species,bkhbat2,species,True
Western/Eastern Black-headed Batis,Western/Eastern Black-headed Batis,Batis erlangeri/minor,blhbat1,slash,blhbat1,slash,False
Pygmy Batis,Pygmy Batis,Batis perkeo,pygbat1,species,pygbat1,species,True
White Helmetshrike,White Helmetshrike,Prionops plumatus,whihel1,species,whihel1,species,True
Gray-crested Helmetshrike,Gray-crested Helmetshrike,Prionops poliolophus,gychel1,species,gychel1,species,True
Retz's Helmetshrike,Retz's Helmetshrike,Prionops retzii,rethel1,species,rethel1,species,True
